Rank,Company Name,Country,"Revenues
($millions)","Profits
($millions)","Assets
($millions)","Market Value 
As of 3/29/18 ($m)"
637,Suncorp Group,Australia,"$10,700.00",$759.00,"$76,500.00","$13,600.00"
638,Valeo,France,"$20,900.00",$999.00,"$20,900.00","$16,200.00"
639,PPL,United States,"$7,600.00","$1,200.00","$42,400.00","$19,400.00"
640,All Nippon Airways,Japan,"$17,800.00","$1,300.00","$24,100.00","$12,800.00"
641,Vonovia,Germany,"$3,800.00","$2,800.00","$54,300.00","$24,100.00"
642,Best Buy,United States,"$42,200.00","$1,000.00","$13,300.00","$21,900.00"
643,CNH Industrial,United Kingdom,"$28,400.00",$427.00,"$49,800.00","$16,900.00"
644,Cenovus Energy,Canada,"$14,100.00","$1,100.00","$30,900.00","$13,400.00"
645,Coal India,India,"$12,600.00","$1,300.00","$17,800.00","$25,000.00"
646,Public Bank,Malaysia,"$4,700.00","$1,300.00","$102,900.00","$23,300.00"
647,Garanti Bank,Turkey,"$9,500.00","$1,700.00","$92,900.00","$9,000.00"
648,Falabella,Chile,"$13,800.00",$785.00,"$23,400.00","$23,600.00"
649,NXP Semiconductors,Netherlands,"$9,300.00",$968.00,"$24,100.00","$34,000.00"
650,JD.com,China,"$53,900.00",-$23.00,"$28,300.00","$44,500.00"
651,Sinopharm Group,China,"$41,100.00",$781.00,"$26,000.00","$11,700.00"
652,Mylan,United Kingdom,"$11,900.00",$717.00,"$35,200.00","$19,800.00"
653,Infosys,India,"$10,900.00","$2,500.00","$12,300.00","$38,300.00"
654,Siam Cement,Thailand,"$13,700.00","$1,500.00","$18,700.00","$17,700.00"
655,Lennar,United States,"$13,300.00",$900.00,"$27,900.00","$17,700.00"
656,Hartford Financial Services,United States,"$18,500.00",$283.00,"$216,700.00","$18,800.00"
657,Ageas,Belgium,"$12,900.00",$703.00,"$123,200.00","$10,600.00"
658,Akzo Nobel,Netherlands,"$13,900.00",$988.00,"$20,400.00","$22,400.00"
659,Unibail-Rodamco,France,"$2,300.00","$2,800.00","$51,900.00","$23,300.00"
660,Nintendo,Japan,"$9,500.00","$1,300.00","$15,400.00","$59,800.00"
661,Norilsk Nickel,Russia,"$9,200.00","$2,100.00","$16,600.00","$27,500.00"
662,Viacom,United States,"$12,900.00","$2,200.00","$23,000.00","$12,200.00"
663,Iqvia Holdings,United States,"$10,000.00","$1,300.00","$23,200.00","$21,400.00"
664,Devon Energy,United States,"$14,300.00",$635.00,"$29,300.00","$21,400.00"
665,Capgemini,France,"$14,400.00",$925.00,"$19,300.00","$23,300.00"
666,Weichai Power,China,"$23,400.00","$1,100.00","$31,200.00","$9,600.00"
667,Transneft,Russia,"$15,200.00","$3,300.00","$50,500.00","$4,400.00"
668,The Estée Lauder Companies,United States,"$13,300.00","$1,200.00","$12,800.00","$51,500.00"
669,Becton Dickinson,United States,"$13,500.00",$47.00,"$54,600.00","$60,200.00"
670,Sekisui House,Japan,"$19,300.00","$1,200.00","$22,200.00","$12,700.00"
671,Yanzhou Coal Mining,China,"$21,200.00","$1,100.00","$31,700.00","$9,900.00"
672,Bharat Petroleum,India,"$30,000.00","$1,300.00","$17,000.00","$12,900.00"
673,Kellogg,United States,"$13,100.00","$1,500.00","$16,700.00","$21,300.00"
674,Molson Coors Brewing,United States,"$10,900.00","$1,500.00","$30,200.00","$13,100.00"
675,Porsche Automobil Holding,Germany,$38.00,"$3,800.00","$38,100.00","$25,700.00"
676,Republic Services,United States,"$10,100.00","$1,300.00","$21,100.00","$22,300.00"
677,Isbank,Turkey,"$14,300.00","$1,600.00","$115,800.00","$6,200.00"
678,Toray Industries,Japan,"$19,900.00",$865.00,"$24,400.00","$13,700.00"
679,Kinder Morgan,United States,"$13,700.00",$261.00,"$79,000.00","$36,400.00"
680,West Japan Railway,Japan,"$13,500.00",$997.00,"$28,900.00","$14,200.00"
681,TELUS,Canada,"$10,200.00","$1,100.00","$23,600.00","$21,300.00"
682,ZTE,China,"$16,800.00",$765.00,"$22,100.00","$19,500.00"
683,Geely Automobile Holdings,Hong Kong,"$13,800.00","$1,600.00","$13,100.00","$26,900.00"
684,Stanley Black & Decker,United States,"$13,200.00","$1,000.00","$19,700.00","$22,200.00"
685,Carrefour,France,"$91,300.00",-$599.00,"$57,400.00","$15,000.00"
686,Kao Corp,Japan,"$13,500.00","$1,400.00","$12,800.00","$34,400.00"
687,Lam Research,United States,"$10,300.00","$1,900.00","$13,700.00","$33,100.00"
688,WEC Energy Group,United States,"$7,600.00","$1,200.00","$31,800.00","$19,500.00"
689,Deutsche Boerse,Germany,"$3,400.00",$985.00,"$179,700.00","$26,000.00"
690,Commerzbank,Germany,"$16,200.00",$160.00,"$547,900.00","$16,100.00"
691,Guangzhou Automobile Group,China,"$10,800.00","$1,600.00","$18,800.00","$18,600.00"
692,Legend Holding,China,"$46,900.00",$746.00,"$51,500.00","$7,700.00"
693,Cnpc Capital,China,"$5,000.00","$1,100.00","$130,800.00","$18,800.00"
694,BYD,China,"$16,300.00",$532.00,"$28,900.00","$21,400.00"
695,Air Products & Chemicals,United States,"$8,700.00","$1,100.00","$18,500.00","$36,500.00"
696,Guotai Junan Securities,China,"$3,700.00","$1,400.00","$72,200.00","$24,000.00"
697,Publicis Groupe,France,"$10,900.00",$972.00,"$28,600.00","$16,800.00"
698,Eversource Energy,United States,"$7,900.00",$998.00,"$37,000.00","$18,400.00"
699,Sodexo,France,"$23,500.00",$862.00,"$19,100.00","$14,800.00"
700,Aptiv,United Kingdom,"$15,700.00","$1,300.00","$12,600.00","$25,500.00"
701,Lotte Chemical,South Korea,"$14,400.00","$1,900.00","$18,300.00","$12,400.00"
702,Sanlam,South Africa,"$8,900.00",$821.00,"$58,700.00","$13,400.00"
703,DSM,Netherlands,"$10,400.00","$2,300.00","$16,300.00","$17,800.00"
704,Teva Pharmaceutical,Israel,"$21,800.00","-$15,800.00","$69,200.00","$19,600.00"
705,Sumitomo Chemical,Japan,"$19,500.00","$1,200.00","$27,700.00","$9,400.00"
706,Altice,Netherlands,"$26,500.00",-$616.00,"$87,000.00","$15,900.00"
707,CGN Power,China,"$6,900.00","$1,400.00","$55,200.00","$12,500.00"
708,Solvay,Belgium,"$13,200.00",$967.00,"$25,800.00","$14,300.00"
709,Parker-Hannifin,United States,"$14,000.00","$1,000.00","$16,200.00","$23,300.00"
710,Kasikornbank,Thailand,"$5,800.00","$1,100.00","$95,800.00","$14,700.00"
711,Idemitsu Kosan,Japan,"$32,100.00","$1,500.00","$25,800.00","$7,700.00"
712,Huntington Bancshares,United States,"$4,900.00","$1,300.00","$104,200.00","$16,700.00"
713,Athene Holding,Bermuda,"$8,200.00","$1,300.00","$93,600.00","$9,300.00"
714,PKN Orlen,Poland,"$26,500.00","$1,600.00","$17,500.00","$10,400.00"
715,WH Group,Hong Kong,"$22,400.00","$1,100.00","$15,300.00","$14,900.00"
716,Credicorp,Peru,"$5,500.00","$1,300.00","$52,900.00","$18,000.00"
717,Koç Holding,Turkey,"$27,100.00","$1,300.00","$27,600.00","$8,000.00"
718,George Weston,Canada,"$37,600.00",$648.00,"$30,000.00","$10,400.00"
719,Baxter International,United States,"$10,800.00",$832.00,"$16,900.00","$37,800.00"
720,Telkom Indonesia,Indonesia,"$9,600.00","$1,600.00","$15,000.00","$25,800.00"
721,Husky Energy,Canada,"$15,400.00",$750.00,"$25,800.00","$14,400.00"
722,Essity Ab,Sweden,"$13,400.00",$973.00,"$18,600.00","$18,700.00"
723,Teliasonera,Sweden,"$9,600.00",$674.00,"$30,100.00","$21,900.00"
724,ThyssenKrupp Group,Germany,"$46,900.00",-$942.00,"$40,700.00","$17,300.00"
725,Guangzhou R&F,China,"$8,800.00","$3,300.00","$45,800.00","$7,800.00"
726,Coca-Cola European Partners,United Kingdom,"$12,900.00",$766.00,"$22,400.00","$18,800.00"
727,Edison International,United States,"$12,400.00",$421.00,"$51,900.00","$20,300.00"
728,Sandvik,Sweden,"$11,100.00","$1,700.00","$13,400.00","$23,000.00"
729,Macy's,United States,"$24,800.00","$1,500.00","$20,100.00","$9,100.00"
730,Haitong Securities,China,"$4,200.00","$1,200.00","$91,100.00","$19,400.00"
731,Ferguson,Switzerland,"$18,600.00","$1,200.00","$12,700.00","$18,900.00"
732,Eiffage,France,"$17,200.00",$615.00,"$36,200.00","$11,500.00"
733,Norsk Hydro,Norway,"$15,500.00","$1,100.00","$20,200.00","$12,400.00"
734,Ross Stores,United States,"$14,100.00","$1,400.00","$5,900.00","$31,000.00"
735,Liberty Global,United Kingdom,"$14,800.00","-$3,600.00","$58,300.00","$24,400.00"
736,Huatai Securities,China,"$3,100.00","$1,500.00","$63,500.00","$19,600.00"
737,Unum,United States,"$11,400.00","$1,000.00","$63,000.00","$8,400.00"
738,Fanuc,Japan,"$6,600.00","$1,600.00","$16,300.00","$41,800.00"
739,Mazda Motor,Japan,"$31,300.00","$1,000.00","$25,700.00","$8,400.00"
740,ROSSETI,Russia,"$16,300.00","$1,800.00","$42,200.00","$2,700.00"
741,UPM-Kymmene,Finland,"$11,700.00","$1,200.00","$15,900.00","$19,800.00"
742,Annaly Capital Management,United States,"$2,700.00","$2,500.00","$100,400.00","$12,100.00"
743,Halliburton,United States,"$22,100.00",-$385.00,"$25,200.00","$45,800.00"
744,Prologis,United States,"$2,700.00","$1,800.00","$29,700.00","$34,800.00"
745,Huaneng Power International,China,"$23,700.00",$361.00,"$60,800.00","$13,600.00"
746,Tokyo Electron,Japan,"$10,200.00","$1,800.00","$11,400.00","$32,900.00"
747,Shimao Property Holdings,Hong Kong,"$10,400.00","$1,200.00","$47,200.00","$9,200.00"
748,LG Corp,South Korea,"$9,100.00","$2,100.00","$20,200.00","$13,300.00"
749,Toshiba,Japan,"$38,700.00","-$3,600.00","$39,900.00","$17,000.00"
750,Akbank,Turkey,"$7,600.00","$1,700.00","$89,800.00","$7,900.00"
751,London Stock Exchange,United Kingdom,"$2,500.00",$683.00,"$1,003,700.00","$20,900.00"
752,OMV Group,Austria,"$23,000.00",$150.00,"$39,800.00","$21,500.00"
753,Uniper,Germany,"$83,000.00","-$1,500.00","$51,900.00","$11,900.00"
754,China Energy Engineering,China,"$34,800.00",$781.00,"$52,800.00","$4,700.00"
755,Veolia Environnement,France,"$28,300.00",$377.00,"$46,000.00","$13,600.00"
756,Hong Kong Exchanges,Hong Kong,"$1,800.00","$1,100.00","$39,200.00","$41,300.00"
757,Ericsson,Sweden,"$23,800.00","-$3,000.00","$31,100.00","$26,100.00"
758,LabCorp,United States,"$10,800.00","$1,200.00","$16,800.00","$18,000.00"
759,Allied Irish Banks,Ireland,"$3,800.00","$1,200.00","$108,100.00","$16,200.00"
760,Shanghai International Port,China,"$5,600.00","$1,800.00","$22,600.00","$24,700.00"
761,Bancolombia,Colombia,"$7,400.00",$886.00,"$68,300.00","$11,500.00"
762,AMP,Australia,"$12,800.00",$650.00,"$115,800.00","$8,100.00"
763,Daiwa Securities,Japan,"$6,400.00",$998.00,"$198,800.00","$9,800.00"
764,China Reinsurance Group,China,"$15,800.00",$776.00,"$36,500.00","$9,400.00"
765,CenterPoint Energy,United States,"$9,900.00","$1,800.00","$22,400.00","$11,500.00"
766,Abertis,Spain,"$5,900.00","$1,000.00","$35,800.00","$19,900.00"
767,Taisei,Japan,"$14,300.00","$1,100.00","$18,200.00","$12,400.00"
768,Sempra Energy,United States,"$11,100.00",$191.00,"$60,500.00","$28,300.00"
769,TD Ameritrade Holding,United States,"$4,600.00","$1,000.00","$38,600.00","$34,900.00"
770,Grupa PZU,Poland,"$8,700.00",$771.00,"$91,000.00","$9,700.00"
771,Qurate Retail,United States,"$11,300.00","$2,300.00","$18,700.00","$10,500.00"
772,ITC,India,"$8,700.00","$1,500.00","$8,600.00","$51,500.00"
773,Isuzu Motors,Japan,"$18,400.00",$970.00,"$17,800.00","$12,000.00"
774,Grupo Aval,Colombia,"$10,300.00",$694.00,"$79,800.00","$9,500.00"
775,Hilton,United States,"$9,100.00","$1,300.00","$14,300.00","$25,100.00"
776,Steinhoff International,Netherlands,"$18,100.00","$1,400.00","$37,100.00",$574.00
777,Rakuten,Japan,"$8,800.00",$929.00,"$61,100.00","$9,600.00"
778,LG Display,South Korea,"$23,800.00",$999.00,"$28,100.00","$7,800.00"
779,Sabanci Holding,Turkey,"$12,200.00","$1,100.00","$91,800.00","$4,700.00"
780,Lear,United States,"$21,200.00","$1,300.00","$12,700.00","$12,900.00"
781,VMware,United States,"$7,900.00",$569.00,"$20,700.00","$58,400.00"
782,Chunghwa Telecom,Taiwan,"$7,600.00","$1,300.00","$16,100.00","$28,400.00"
783,Sharp,Japan,"$21,900.00",$634.00,"$17,900.00","$14,700.00"
784,Neste Oil,Finland,"$16,100.00","$1,200.00","$9,900.00","$20,600.00"
785,Dentsu,Japan,"$8,300.00",$941.00,"$31,600.00","$13,400.00"
786,DR Horton,United States,"$15,100.00","$1,100.00","$13,200.00","$16,600.00"
787,GF Securities,China,"$2,900.00","$1,200.00","$61,600.00","$17,700.00"
788,Pioneer Natural Resources,United States,"$7,000.00","$1,000.00","$17,300.00","$34,500.00"
789,Japan Airlines,Japan,"$12,500.00","$1,200.00","$17,400.00","$12,900.00"
790,TUI,Germany,"$21,300.00",$777.00,"$15,600.00","$14,000.00"
791,Barrick Gold,Canada,"$8,200.00",$970.00,"$25,400.00","$15,700.00"
792,Eastman Chemical,United States,"$9,800.00","$1,500.00","$16,400.00","$15,200.00"
793,Luxottica Group,Italy,"$10,300.00","$1,200.00","$12,100.00","$30,000.00"
794,YPF,Argentina,"$15,500.00","$1,000.00","$27,400.00","$8,500.00"
795,CEZ Group,Czech Republic,"$8,500.00",$803.00,"$30,300.00","$14,100.00"
796,Entergy,United States,"$11,100.00",$476.00,"$47,300.00","$14,300.00"
797,Anadarko Petroleum,United States,"$11,100.00",-$25.00,"$41,100.00","$35,200.00"
798,Ferrovial,Spain,"$13,800.00",$511.00,"$27,600.00","$15,700.00"
799,Western Digital,United States,"$20,400.00",$199.00,"$29,000.00","$23,600.00"
800,CSL,Australia,"$7,400.00","$1,600.00","$10,400.00","$60,000.00"
801,Formosa Plastics,Taiwan,"$6,800.00","$1,600.00","$16,000.00","$23,200.00"
802,Scentre Group,Australia,"$1,900.00","$3,200.00","$29,300.00","$16,500.00"
803,Great Wall Motor,China,"$15,200.00",$789.00,"$17,400.00","$13,900.00"
804,Rockwell Collins,United States,"$8,500.00",$909.00,"$18,300.00","$22,100.00"
805,Bankia,Spain,"$4,000.00",$866.00,"$257,100.00","$13,700.00"
806,Galp Energia,Portugal,"$17,800.00",$713.00,"$15,000.00","$17,000.00"
807,Samba Financial Group,Saudi Arabia,"$2,300.00","$1,400.00","$61,000.00","$14,800.00"
808,Tokyo Gas,Japan,"$16,000.00",$677.00,"$22,000.00","$12,200.00"
809,National Bank of Kuwait,Kuwait,"$3,800.00","$1,000.00","$89,400.00","$15,000.00"
810,Mitsubishi Motors,Japan,"$19,800.00",$971.00,"$15,600.00","$11,700.00"
811,Tesla,United States,"$12,500.00","-$2,300.00","$27,300.00","$51,100.00"
812,Uni-President,Taiwan,"$13,600.00","$1,300.00","$14,100.00","$13,400.00"
813,Ryanair Holdings,Ireland,"$7,900.00","$1,600.00","$14,000.00","$21,300.00"
814,Fortum,Finland,"$5,700.00","$1,100.00","$26,200.00","$21,300.00"
815,Oneok,United States,"$12,700.00",$565.00,"$16,400.00","$27,100.00"
816,Chongqing Rural Bank,China,"$6,700.00","$1,400.00","$142,900.00","$7,100.00"
817,Link REIT,Hong Kong,"$1,200.00","$3,100.00","$24,600.00","$18,500.00"
818,Itaúsa,Brazil,"$1,600.00","$2,600.00","$19,800.00","$26,800.00"
819,PTT Global Chemical,Thailand,"$13,600.00","$1,200.00","$14,300.00","$13,400.00"
820,Essilor International,France,"$8,400.00",$890.00,"$14,800.00","$29,800.00"
821,Kajima,Japan,"$17,100.00","$1,200.00","$16,900.00","$10,000.00"
822,Centrica,United Kingdom,"$36,100.00",$429.00,"$28,000.00","$11,200.00"
823,NetEase,China,"$8,000.00","$1,600.00","$10,900.00","$35,200.00"
824,Keyence,Japan,"$4,800.00","$1,900.00","$14,000.00","$75,800.00"
825,S-Oil,South Korea,"$19,000.00",$938.00,"$15,300.00","$11,500.00"
826,Mahindra & Mahindra,India,"$14,000.00","$1,100.00","$12,400.00","$16,100.00"
827,Bharti Airtel,India,"$13,000.00",$171.00,"$38,400.00","$22,900.00"
828,Bank of East Asia,Hong Kong,"$3,600.00","$1,100.00","$103,500.00","$12,300.00"
829,Bangkok Bank,Thailand,"$4,900.00","$1,000.00","$101,500.00","$11,400.00"
830,Fortis (Canada),Canada,"$6,400.00",$824.00,"$38,100.00","$13,900.00"
831,Banco BPM,Italy,"$5,200.00","$3,000.00","$193,600.00","$5,300.00"
832,Galaxy Entertainment,Hong Kong,"$8,000.00","$1,300.00","$10,700.00","$38,200.00"
833,Abitare In Spa,Italy,"$21,500.00",$919.00,"$32,700.00",$69.00
834,Braskem,Brazil,"$15,400.00","$1,300.00","$16,100.00","$10,100.00"
835,Hikvision,China,"$6,600.00","$1,500.00","$8,000.00","$58,200.00"
836,Comerica,United States,"$3,300.00",$817.00,"$72,300.00","$16,800.00"
837,Kyushu Electric Power,Japan,"$17,700.00",$782.00,"$44,300.00","$5,600.00"
838,Stora Enso,Finland,"$11,800.00",$917.00,"$14,500.00","$16,300.00"
839,Kone,Finland,"$10,700.00","$1,100.00","$8,400.00","$25,700.00"
840,Raymond James Financial,United States,"$7,000.00",$737.00,"$36,000.00","$13,700.00"
841,First Republic Bank,United States,"$3,100.00",$780.00,"$90,200.00","$15,800.00"
842,Infineon Technologies,Germany,"$8,500.00","$1,300.00",-,"$32,400.00"
843,Assa Abloy,Sweden,"$9,200.00","$1,000.00","$12,500.00","$24,700.00"
844,Hermès International,France,"$6,300.00","$1,400.00","$8,100.00","$72,700.00"
845,PKO Bank Polski,Poland,"$4,200.00",$822.00,"$85,400.00","$14,900.00"
846,Aena,Spain,"$4,700.00","$1,500.00","$18,900.00","$31,800.00"
847,Restaurant Brands International,Canada,"$4,800.00","$1,300.00","$20,800.00","$26,200.00"
848,Schaeffler,Germany,"$16,400.00","$1,100.00","$14,600.00","$10,700.00"
849,Canadian Pacific Railway,Canada,"$5,200.00","$1,800.00","$15,800.00","$26,700.00"
850,China Hongqiao Group,China,"$13,800.00",$764.00,"$24,300.00","$9,700.00"
851,Analog Devices,United States,"$5,600.00",$775.00,"$20,900.00","$34,200.00"
852,Hanwha,South Korea,"$44,600.00",$359.00,"$149,600.00","$2,900.00"
853,Weyerhaeuser,United States,"$7,400.00",$694.00,"$17,900.00","$27,700.00"
854,S&P Global,United States,"$6,200.00","$1,600.00","$8,500.00","$50,300.00"
855,Shaanxi Coal Industry,China,"$7,300.00","$1,600.00","$17,400.00","$13,500.00"
856,Salesforce.com,United States,"$10,500.00",$128.00,"$21,000.00","$97,000.00"
857,Willis Towers Watson,United Kingdom,"$8,100.00",$439.00,"$34,200.00","$20,500.00"
858,Apache,United States,"$6,100.00","$1,200.00","$21,800.00","$15,800.00"
859,ATOS,France,"$14,300.00",$678.00,"$16,200.00","$13,900.00"
860,S.F. Holding,China,"$11,500.00",$753.00,"$9,300.00","$34,300.00"
861,Novolipetsk Steel,Russia,"$10,700.00","$1,600.00","$11,200.00","$15,300.00"
862,AutoZone,United States,"$11,100.00","$1,300.00","$9,400.00","$17,800.00"
863,Kuehne & Nagel International,Switzerland,"$18,900.00",$749.00,"$7,700.00","$18,400.00"
864,CarMax,United States,"$17,100.00",$664.00,"$17,600.00","$11,400.00"
865,Mega Financial Holding,Taiwan,"$2,800.00",$846.00,"$119,200.00","$12,100.00"
866,Adecco,Switzerland,"$27,600.00",$869.00,"$12,500.00","$11,000.00"
867,Inner Mongolia Yili,China,"$10,800.00",$961.00,"$7,800.00","$24,800.00"
868,Deutsche Wohnen,Germany,"$1,300.00","$1,900.00","$24,700.00","$16,800.00"
869,VF,United States,"$12,300.00",$707.00,"$10,300.00","$30,700.00"
870,XL Group,Bermuda,"$11,300.00",-$561.00,"$65,300.00","$14,200.00"
871,China Steel,Taiwan,"$11,900.00",$594.00,"$22,800.00","$12,200.00"
872,J Sainsbury,United Kingdom,"$37,700.00",$410.00,"$30,900.00","$9,100.00"
873,Halkbank,Turkey,"$7,700.00","$1,100.00","$82,300.00","$2,200.00"
874,Alliance Data Systems,United States,"$7,700.00",$806.00,"$29,400.00","$11,500.00"
875,China National Building,China,"$19,000.00",$482.00,"$53,300.00","$7,200.00"
876,E-Trade Financial,United States,"$2,600.00",$716.00,"$64,200.00","$17,000.00"
877,FirstEnergy,United States,"$13,400.00","-$1,800.00","$38,800.00","$16,200.00"
878,Julius Baer Group,Switzerland,"$3,800.00",$716.00,"$100,500.00","$13,700.00"
879,Financiere de l'Odet,France,"$20,700.00",$417.00,"$60,300.00","$7,600.00"
880,Fortescue Metals Group,Australia,"$7,600.00","$1,600.00","$18,200.00","$11,600.00"
881,China National Nuclear Power,China,"$5,000.00",$679.00,"$49,400.00","$16,100.00"
882,Shengjing Bank,China,"$6,500.00","$1,100.00","$158,300.00","$3,900.00"
883,SM Investments,Philippines,"$7,800.00",$664.00,"$18,600.00","$21,200.00"
884,Nutrien,Canada,$181.00,$642.00,"$34,900.00","$31,000.00"
885,Insurance Australia Group,Australia,"$7,100.00",$793.00,"$23,000.00","$14,700.00"
886,Obayashi,Japan,"$17,000.00",$889.00,"$19,400.00","$8,200.00"
887,China Merchants Securities,China,"$1,700.00",$830.00,"$46,200.00","$16,800.00"
888,O'Reilly Automotive,United States,"$9,100.00","$1,200.00","$7,700.00","$22,100.00"
889,Vestas Wind Systems,Denmark,"$11,400.00",$977.00,"$13,700.00","$13,600.00"
890,Woodside Petroleum,Australia,"$3,900.00","$1,000.00","$25,400.00","$23,700.00"
891,Randstad Holding,Netherlands,"$27,300.00",$751.00,"$12,000.00","$11,700.00"
892,CBRE Group,United States,"$15,900.00",$712.00,"$11,900.00","$16,000.00"
893,Emaar Properties,United Arab Emirates,"$5,800.00","$1,600.00","$30,800.00","$9,700.00"
894,Saudi British Bank,Saudi Arabia,"$2,000.00","$1,100.00","$48,700.00","$13,000.00"
895,Voestalpine,Austria,"$14,300.00",$781.00,"$18,400.00","$9,900.00"
896,Shanghai Pharmaceuticals,China,"$20,200.00",$534.00,"$18,100.00","$11,200.00"
897,eBay,United States,"$10,000.00","-$1,600.00","$24,600.00","$38,000.00"
898,Daiichi Sankyo,Japan,"$8,700.00",$544.00,"$17,800.00","$23,200.00"
899,Shenwan Hongyuan Group,China,"$2,000.00",$697.00,"$51,900.00","$17,400.00"
900,Huishang Bank,China,"$6,200.00","$1,100.00","$139,500.00","$5,400.00"
901,China Grand Automotive Services,China,"$25,200.00",$608.00,"$20,000.00","$8,500.00"
902,Secom,Japan,"$8,800.00",$785.00,"$16,200.00","$16,500.00"
903,Bank Negara Indonesia,Indonesia,"$4,900.00","$1,000.00","$50,800.00","$11,100.00"
904,Genworth Financial,United States,"$8,200.00",$783.00,"$103,800.00","$1,500.00"
905,Power Grid of India,India,"$3,800.00","$1,100.00","$32,400.00","$16,100.00"
906,Swatch Group,Switzerland,"$8,100.00",$745.00,"$13,800.00","$25,500.00"
907,Bank of Jinzhou,China,"$6,000.00","$1,300.00","$111,100.00","$6,200.00"
908,Invesco,United States,"$5,400.00","$1,100.00","$31,600.00","$11,600.00"
909,Wipro,India,"$8,500.00","$1,200.00","$11,700.00","$18,300.00"
910,Riyad Bank,Saudi Arabia,"$2,600.00","$1,100.00","$57,700.00","$11,500.00"
911,Xiamen C&D,China,"$34,100.00",$527.00,"$32,800.00","$5,000.00"
912,Bank Leumi,Israel,"$4,800.00",$882.00,"$129,900.00","$9,300.00"
913,Schindler Holding,Switzerland,"$10,300.00",$837.00,"$8,900.00","$23,000.00"
914,Bâloise Group,Switzerland,"$9,600.00",$557.00,"$86,300.00","$7,400.00"
915,DP World,United Arab Emirates,"$4,700.00","$1,200.00","$23,200.00","$18,300.00"
916,Inpex,Japan,"$8,400.00",$364.00,"$40,000.00","$18,500.00"
917,HollyFrontier,United States,"$15,300.00","$1,100.00","$10,900.00","$11,900.00"
918,CP All,Thailand,"$13,900.00",$567.00,"$11,100.00","$24,100.00"
919,Asahi Glass,Japan,"$13,500.00",$668.00,"$20,500.00","$9,900.00"
920,Kohl's,United States,"$19,100.00",$859.00,"$13,300.00","$10,100.00"
921,MOL Hungarian Oil,Hungary,"$15,800.00","$1,000.00","$16,800.00","$8,000.00"
922,Yamaha Motor,Japan,"$15,200.00",$923.00,"$13,200.00","$10,900.00"
923,Hyundai Steel,South Korea,"$17,400.00",$499.00,"$31,200.00","$8,000.00"
924,Wuliangye Yibin,China,"$4,400.00","$1,700.00","$12,700.00","$47,200.00"
925,United Rentals,United States,"$7,000.00","$1,400.00","$14,700.00","$14,000.00"
926,South32,Australia,"$7,200.00","$1,200.00","$14,800.00","$15,200.00"
927,Regeneron Pharmaceuticals,United States,"$6,100.00","$1,400.00","$9,400.00","$33,100.00"
928,Genuine Parts,United States,"$17,000.00",$633.00,"$12,800.00","$13,400.00"
929,Mohawk Industries,United States,"$9,700.00",$980.00,"$12,600.00","$15,900.00"
930,Abu Dhabi Commercial Bank,United Arab Emirates,"$3,500.00","$1,100.00","$72,600.00","$9,700.00"
931,CapitaLand,Singapore,"$4,000.00","$1,100.00","$47,400.00","$11,600.00"
932,Bank Hapoalim,Israel,"$5,000.00",$740.00,"$130,900.00","$9,600.00"
933,Gecina,France,$799.00,"$2,100.00","$24,100.00","$12,800.00"
934,Mediobanca,Italy,"$2,600.00",$912.00,"$86,600.00","$10,300.00"
935,VakifBank,Turkey,"$6,800.00","$1,100.00","$69,100.00","$3,300.00"
936,HCL Technologies,India,"$7,800.00","$1,400.00","$7,400.00","$19,300.00"
937,Technipfmc,United Kingdom,"$14,800.00",$227.00,"$28,500.00","$14,800.00"
938,Westlake Chemical,United States,"$8,200.00","$1,400.00","$11,600.00","$15,200.00"
939,China Gezhouba,China,"$15,600.00",$708.00,"$31,000.00","$5,800.00"
940,Corning,United States,"$10,200.00","-$1,200.00","$26,800.00","$23,300.00"
941,Suntory Beverage & Food,Japan,"$11,000.00",$697.00,"$14,500.00","$14,300.00"
942,Asr Nederland,Netherlands,"$7,200.00","$1,000.00","$65,900.00","$6,500.00"
943,Shanghai Electric Group,China,"$11,900.00",$396.00,"$31,600.00","$12,000.00"
944,JM Smucker,United States,"$7,400.00","$1,300.00","$15,300.00","$12,800.00"
945,SVB Financial Group,United States,"$2,100.00",$584.00,"$53,500.00","$17,000.00"
946,Aluminum Corp of China,China,"$26,300.00",$195.00,"$32,200.00","$10,100.00"
947,Zijin Mining Group,China,"$14,800.00",$546.00,"$14,500.00","$13,800.00"
948,Klepierre,France,"$1,600.00","$1,400.00","$30,200.00","$12,400.00"
949,Db Insurance,South Korea,"$13,600.00",$585.00,"$44,600.00","$4,100.00"
950,Fortive,United States,"$6,900.00","$1,100.00","$10,700.00","$26,400.00"
951,Hindustan Petroleum,India,"$27,900.00","$1,200.00","$12,500.00","$7,200.00"
952,OTP Bank,Hungary,"$4,000.00","$1,000.00","$51,100.00","$10,900.00"
953,Yum! Brands,United States,"$5,800.00","$1,500.00","$4,800.00","$27,400.00"
954,STMicroelectronics,Switzerland,"$8,700.00",$928.00,"$10,100.00","$21,200.00"
955,Fiserv,United States,"$5,700.00","$1,400.00","$10,200.00","$29,800.00"
956,Cemex,Mexico,"$14,000.00",$487.00,"$29,200.00","$8,800.00"
957,China Coal Energy,China,"$13,100.00",$406.00,"$39,600.00","$9,400.00"
958,Hormel Foods,United States,"$9,200.00",$915.00,"$7,900.00","$19,200.00"
